"","carat","length","width","depth","cut","color","clarity","fdepth","table"
"2685",1.54,7.51,7.55,4.45,"Very Good","D","VS1",59.1,59
"2686",2.01,8.04,8.01,5.02,"Premium","I","VS2",62.6,59
"2687",1.52,7.28,7.31,4.65,"Very Good","F","VVS2",63.7,57
"2688",2.4,8.53,8.49,5.33,"Premium","F","SI2",62.6,59
"2689",1.71,7.7,7.6,4.73,"Ideal","G","VS2",61.8,57
"2690",2.02,8.25,8.2,4.9,"Premium","I","VS2",59.6,60
"2691",2.03,8.17,8.1,5.02,"Premium","H","SI1",61.7,59
"2692",1.52,7.32,7.39,4.59,"Ideal","E","VS1",62.4,54
"2693",2.03,8.05,8.02,5.04,"Ideal","I","VS2",62.7,57
"2694",2.06,8.12,8.17,5.05,"Ideal","I","SI1",62,56
"2695",2.27,8.36,8.41,5.23,"Premium","J","VS1",62.4,58
"2696",2.01,8.15,8.04,4.85,"Premium","G","SI2",59.9,62
"2697",1.54,7.44,7.49,4.55,"Ideal","F","VS2",61,56
"2698",1.6,7.53,7.5,4.6,"Ideal","G","VS1",62,54
"2699",2.05,8.43,8.36,4.92,"Premium","E","SI2",58.6,59
"2700",2.01,8.07,8.15,5.01,"Very Good","D","SI2",61.8,59
"2701",1.56,7.41,7.45,4.61,"Ideal","F","VS2",62,55
"2702",2.14,8.4,8.36,5.01,"Premium","D","SI2",59.8,59
"2703",2.02,8.13,8.05,4.95,"Premium","I","VS1",61.2,59
"2704",0.32,4.39,4.43,2.72,"Ideal","G","VS1",61.7,55
"2705",0.32,4.39,4.42,2.73,"Ideal","H","VVS2",62,55
"2706",0.42,4.76,4.72,3.04,"Good","F","SI2",64.1,56
"2707",1.57,7.44,7.48,4.58,"Premium","E","VS1",61.4,58
"2708",2.3,8.43,8.39,5.23,"Ideal","I","SI1",62.2,60
"2709",2.6,9.05,8.94,5.24,"Premium","J","SI2",58.3,61
"2710",1.53,7.35,7.39,4.62,"Ideal","D","VS2",62.7,54
"2711",2.01,8.09,8.15,4.94,"Very Good","F","SI2",60.8,57
"2712",2.02,8.15,8.1,5.01,"Ideal","G","SI2",61.7,57
"2713",2.05,8.14,8.08,5.06,"Ideal","H","SI1",62.4,57
"2714",4.13,10,9.85,6.43,"Fair","H","I1",64.8,61
"2715",1.93,7.91,7.86,4.95,"Premium","H","VS2",62.8,58
"2716",2.04,8.35,8.31,4.86,"Premium","E","SI2",58.3,58
"2717",2.01,8.1,8.04,4.97,"Ideal","H","SI1",61.6,57
"2718",2.19,8.36,8.48,5.22,"Ideal","H","SI2",62,56
"2719",1.56,7.48,7.46,4.61,"Ideal","F","VS1",61.7,56
"2720",1.7,7.56,7.5,4.79,"Good","D","VS2",63.6,56
"2721",2.01,8.07,7.96,4.99,"Very Good","F","SI2",62.3,63
"2722",2,7.94,8.01,5.02,"Ideal","F","SI2",62.9,56
"2723",2.36,8.51,8.56,5.3,"Ideal","H","SI2",62.2,55
"2724",1.7,7.65,7.68,4.66,"Very Good","F","VS2",60.8,60
"2725",2.01,8.16,8.19,4.98,"Ideal","G","SI2",60.9,55
"2726",1.52,7.4,7.46,4.55,"Ideal","D","VS1",61.2,57
"2727",2.32,8.49,8.45,5.25,"Ideal","I","SI2",62,57
"2728",1.99,8.2,8.11,4.93,"Fair","H","VS2",60.5,63
"2729",2.01,8.02,7.96,4.9,"Premium","F","SI2",61.3,61
"2730",2,7.88,7.81,5,"Good","D","VS2",63.7,60
"2731",2.21,8.3,8.34,5.23,"Very Good","I","SI1",62.9,59
"2732",2.16,8.3,8.38,5.16,"Ideal","H","SI1",61.9,57
"2733",2.01,8.08,8.03,5.05,"Premium","H","SI1",62.7,59
"2734",2.02,8.14,8.08,5,"Ideal","H","SI1",61.7,57
"2735",2.48,8.6,8.55,5.43,"Very Good","H","SI1",63.3,56
"2736",2.08,8.16,8.18,5.06,"Ideal","I","VS2",62,56
"2737",0.41,4.68,4.72,3.02,"Good","G","SI1",64.3,54
"2738",0.28,4.19,4.23,2.61,"Ideal","E","VVS1",62,56
"2739",0.35,4.53,4.51,2.86,"Very Good","H","SI1",63.3,54
"2740",2.02,8.32,8.25,4.82,"Premium","E","SI2",58.2,60
"2741",2.08,8.32,8.25,5.05,"Ideal","J","IF",61,55
"2742",2.18,8.29,8.24,5.12,"Premium","G","SI2",61.9,60
"2743",2.32,8.47,8.31,5.2,"Fair","H","SI1",62,62
"2744",2.51,8.87,8.79,5.15,"Ideal","I","SI2",58.4,62
"2745",2.19,8.23,8.31,5.16,"Very Good","E","SI2",62.4,61
"2746",1.51,7.5,7.4,4.45,"Premium","F","IF",60.5,61
"2747",2.04,8.1,8.03,5.08,"Premium","H","SI1",63,58
"2748",2.08,8.13,8.15,5.08,"Very Good","E","SI2",62.4,60
"2749",1.5,7.32,7.23,4.59,"Ideal","F","VVS2",63.1,57
"2750",2.05,8.16,8.11,5.01,"Ideal","G","SI2",61.6,56
"2751",2.07,8.12,8.09,5.14,"Ideal","H","SI2",63.5,53
"2752",2.02,8.27,8.35,4.95,"Very Good","H","SI1",59.6,59
"2753",2.01,8.03,8.05,5,"Ideal","H","SI1",62.2,56
"2754",1.07,6.67,6.57,4.03,"Premium","D","IF",60.9,58
"2755",2.24,8.45,8.5,5.13,"Ideal","I","SI1",60.5,59
"2756",2.5,8.63,8.6,5.34,"Good","J","VS2",62,58
"2757",2.2,8.38,8.34,5.18,"Premium","I","VS2",62,57
"2758",2.09,8.23,8.3,5.05,"Very Good","H","SI1",61.1,56
"2759",1.6,7.49,7.54,4.66,"Ideal","F","VS2",62,55
"2760",2.22,8.46,8.41,5.05,"Premium","I","SI1",59.9,59
"2761",2.03,7.96,8.05,5.08,"Ideal","F","SI2",63.3,55
"2762",2.16,8.54,8.5,5,"Premium","I","VS2",58.7,60
"2763",2.32,8.56,8.6,5.2,"Very Good","H","SI2",60.6,58
"2764",4.5,10.23,10.16,6.72,"Fair","J","I1",65.8,58
"2765",2.09,8.3,8.23,5.05,"Premium","H","SI1",61.1,56
"2766",2.29,8.49,8.45,5.2,"Premium","J","IF",61.4,60
"2767",2.01,7.87,7.94,5,"Good","H","VS2",63.3,55
"2768",2.03,8.27,8.21,4.91,"Premium","G","VS2",59.6,60
"2769",2.01,8.08,8.14,4.97,"Premium","G","SI2",61.2,57.2
"2770",0.38,4.71,4.74,2.85,"Ideal","I","VS2",60.5,56
"2771",0.32,4.45,4.47,2.72,"Ideal","F","SI1",61,55
"2772",0.32,4.39,4.37,2.71,"Premium","H","VS2",61.9,58
"2773",2.02,8.11,8.2,4.88,"Very Good","E","SI1",59.8,59
"2774",2.08,8.36,8.4,4.92,"Ideal","H","SI1",58.7,60
"2775",1.71,7.57,7.53,4.7,"Premium","F","VS2",62.3,59
"2776",0.32,4.42,4.38,2.78,"Very Good","I","VS1",63.2,54
"2777",0.32,4.43,4.39,2.67,"Premium","H","VS2",60.5,59
"2778",0.32,4.4,4.38,2.72,"Ideal","H","VS2",62,55
"2779",0.32,4.36,4.33,2.71,"Premium","H","VS2",62.4,58
"2780",0.37,4.64,4.69,2.83,"Very Good","G","VS2",60.7,57
"2781",0.37,4.6,4.63,2.81,"Premium","H","VS1",60.9,60
"2782",0.3,4.33,4.37,2.66,"Ideal","H","VVS1",61.1,56
"2783",0.34,4.52,4.45,2.76,"Premium","G","SI1",61.5,56
"2784",0.31,4.31,4.34,2.69,"Very Good","G","VVS2",62.2,56
"2785",0.31,4.41,4.46,2.62,"Good","E","VS2",59.1,56
"2786",0.34,4.52,4.54,2.75,"Ideal","H","VVS2",60.9,55
"2787",0.33,4.4,4.44,2.73,"Good","D","VS2",61.8,61
"2788",0.42,4.74,4.79,3.03,"Good","H","SI1",63.6,57
"2789",0.39,4.66,4.71,2.9,"Ideal","H","SI1",61.9,55.7
"2790",0.44,4.9,4.92,3.03,"Ideal","F","SI2",61.7,54
"2791",0.4,4.66,4.71,2.97,"Good","G","SI1",63.4,58
"2792",0.26,4.12,4.16,2.51,"Very Good","F","VVS1",60.6,56
"2793",0.37,4.76,4.69,2.76,"Very Good","G","VS1",58.4,59
"2794",0.35,4.47,4.49,2.83,"Good","H","SI2",63.2,61
"2795",0.23,3.92,3.95,2.46,"Very Good","H","VVS2",62.6,56
"2796",0.3,4.3,4.32,2.63,"Very Good","G","SI1",61,58
"2797",0.3,4.33,4.38,2.61,"Premium","E","VS2",59.9,59
"2798",0.3,4.27,4.31,2.66,"Premium","E","VS2",62,59
"2799",0.3,4.3,4.35,2.68,"Ideal","E","VS2",62,55
"2800",0.3,4.25,4.3,2.65,"Ideal","E","VS2",62,55
"2801",0.3,4.27,4.3,2.67,"Very Good","E","VS2",62.3,57
"2802",0.3,4.31,4.33,2.66,"Ideal","E","VS2",61.6,55
"2803",0.3,4.26,4.3,2.65,"Very Good","F","VS1",61.9,59
"2804",0.3,4.3,4.33,2.68,"Ideal","E","VS2",62.1,55
"2805",0.41,4.51,4.63,2.99,"Fair","H","SI1",65.4,61
"2806",0.31,4.35,4.39,2.71,"Ideal","H","VVS1",62,54.2
"2807",0.38,4.65,4.69,2.91,"Ideal","E","SI1",62.3,53
"2808",0.31,4.38,4.42,2.64,"Ideal","G","VVS2",60,58
"2809",0.4,4.76,4.79,2.95,"Ideal","J","VVS2",61.8,55
"2810",0.3,4.3,4.32,2.68,"Ideal","E","VS1",62.1,54.2
"2811",0.31,4.34,4.28,2.72,"Very Good","F","SI1",63.1,55
"2812",0.36,4.56,4.59,2.81,"Premium","D","SI1",61.4,58
"2813",0.36,4.56,4.64,2.83,"Ideal","D","SI1",61.5,56
"2814",0.29,4.35,4.37,2.55,"Very Good","E","VVS2",58.5,58
"2815",0.3,4.32,4.34,2.7,"Ideal","G","VVS2",62.4,55
"2816",0.3,4.31,4.34,2.64,"Ideal","G","VVS2",61,57
"2817",0.3,4.32,4.36,2.66,"Ideal","H","VVS1",61.3,57
"2818",0.39,4.69,4.8,2.88,"Ideal","G","SI1",60.7,57
"2819",0.37,4.65,4.58,2.82,"Premium","I","VS2",61.1,59
"2820",0.4,4.68,4.74,2.9,"Very Good","D","SI2",61.6,59
"2821",0.4,4.8,4.83,2.91,"Premium","D","SI2",60.4,59
"2822",0.4,4.74,4.77,2.91,"Ideal","E","SI2",61.2,55
"2823",0.33,4.44,4.47,2.66,"Very Good","G","VS1",59.7,61
"2824",0.33,4.44,4.46,2.77,"Ideal","H","VVS2",62.2,56
"2825",0.33,4.4,4.42,2.74,"Ideal","G","VS1",62.1,56
"2826",0.33,4.44,4.47,2.71,"Premium","F","VS2",60.8,58
"2827",0.24,3.99,4.07,2.48,"Very Good","E","VS1",61.5,57
"2828",0.25,4.21,4.23,2.33,"Fair","E","VS1",55.2,64
"2829",0.31,4.3,4.33,2.74,"Good","J","SI1",63.5,55
"2830",0.27,4.15,4.18,2.59,"Ideal","I","VS1",62.2,55
"2831",0.32,4.36,4.39,2.76,"Good","I","SI1",63.1,56
"2832",0.32,4.36,4.39,2.67,"Premium","I","SI1",61,59
"2833",0.33,4.38,4.41,2.76,"Very Good","G","VS1",62.8,58
"2834",0.33,4.45,4.48,2.75,"Ideal","F","VS2",61.6,55
"2835",0.33,4.4,4.42,2.76,"Ideal","F","VS2",62.6,55
"2836",0.27,4.18,4.27,2.58,"Very Good","E","VVS1",61.1,55
"2837",0.4,4.73,4.76,2.96,"Ideal","I","VS2",62.4,54
"2838",0.37,4.6,4.61,2.88,"Ideal","G","VS2",62.5,53
"2839",0.33,4.54,4.5,2.69,"Premium","I","VS1",59.5,60
"2840",0.33,4.5,4.46,2.72,"Ideal","H","VS2",60.7,57
"2841",0.29,4.23,4.19,2.61,"Premium","G","VVS1",62,58
"2842",0.35,4.57,4.53,2.81,"Ideal","D","SI2",61.8,57
"2843",0.43,4.77,4.82,3.04,"Good","E","SI2",63.4,57
"2844",0.3,4.29,4.31,2.64,"Ideal","D","VS2",61.4,58
"2845",0.39,4.76,4.81,2.83,"Very Good","E","SI1",59.1,59
"2846",0.32,4.42,4.44,2.75,"Ideal","D","VS2",62.1,53
"2847",0.32,4.39,4.43,2.7,"Very Good","G","VVS2",61.3,57
"2848",0.32,4.42,4.39,2.76,"Ideal","H","VS1",62.7,56
"2849",0.32,4.38,4.34,2.77,"Very Good","E","SI1",63.5,56
"2850",0.29,4.25,4.28,2.62,"Ideal","G","VVS1",61.5,56
"2851",0.4,4.71,4.73,2.92,"Ideal","F","SI2",61.9,57
"2852",0.3,4.29,4.28,2.7,"Ideal","F","VS2",63,55
"2853",0.29,4.29,4.32,2.62,"Very Good","E","VVS2",60.9,57
"2854",0.39,4.75,4.82,2.92,"Ideal","G","SI1",61,55
"2855",0.3,4.34,4.3,2.62,"Premium","E","SI1",60.6,58
"2856",0.3,4.31,4.28,2.62,"Premium","H","VS1",61,58
"2857",0.3,4.3,4.26,2.71,"Very Good","H","VS1",63.3,56
"2858",0.3,4.28,4.24,2.64,"Premium","H","VS1",62,58
"2859",0.3,4.34,4.3,2.62,"Premium","G","VS2",60.6,60
"2860",0.3,4.33,4.28,2.64,"Ideal","G","VS2",61.3,56
"2861",0.3,4.32,4.27,2.71,"Very Good","E","SI1",63.1,53
"2862",0.3,4.3,4.25,2.69,"Ideal","E","SI1",62.9,57
"2863",0.24,4,4.02,2.44,"Premium","H","VVS1",60.8,59
"2864",0.26,4.11,4.13,2.56,"Ideal","I","VS1",62.1,55
"2865",0.33,4.41,4.45,2.74,"Ideal","G","SI2",61.9,56
"2866",0.3,4.32,4.29,2.65,"Ideal","E","SI1",61.6,57
"2867",0.39,4.72,4.65,2.91,"Ideal","E","SI1",62,56
"2868",0.24,3.99,4.02,2.47,"Ideal","F","VVS2",61.7,55
"2869",0.24,3.96,3.98,2.5,"Ideal","F","IF",62.9,55
"2870",0.39,4.74,4.77,2.86,"Very Good","I","VS2",60.1,57
"2871",0.3,4.31,4.32,2.67,"Very Good","G","VVS1",61.9,55
"2872",0.23,3.92,3.88,2.47,"Very Good","E","VVS2",63.3,56
"2873",0.31,4.35,4.39,2.7,"Ideal","E","VS2",61.8,55
"2874",0.31,4.38,4.41,2.66,"Ideal","E","VS2",60.5,56
"2875",0.31,4.39,4.4,2.67,"Ideal","E","VS2",60.8,54
"2876",0.31,4.37,4.42,2.65,"Premium","E","VS2",60.3,58
"2877",0.31,4.34,4.36,2.65,"Ideal","E","VS2",60.9,57
"2878",0.31,4.34,4.39,2.7,"Ideal","E","VS2",61.9,55
"2879",0.33,4.53,4.51,2.68,"Ideal","E","VS2",59.3,58
"2880",0.37,4.55,4.58,2.85,"Premium","I","VVS1",62.4,58
"2881",0.27,4.15,4.18,2.55,"Very Good","E","VVS1",61.3,57
"2882",0.38,4.65,4.58,2.88,"Premium","I","VS2",62.4,56
"2883",0.31,4.39,4.43,2.67,"Ideal","D","VS1",60.5,55
"2884",0.41,4.77,4.83,2.88,"Very Good","H","SI1",60,61
"2885",0.41,4.72,4.75,2.97,"Ideal","D","SI2",62.7,55
"2886",0.41,4.75,4.78,2.99,"Very Good","D","SI2",62.7,58
"2887",0.3,4.32,4.35,2.7,"Ideal","F","VVS2",62.3,54
"2888",0.32,4.5,4.47,2.66,"Premium","F","SI1",59.3,58
"2889",0.31,4.33,4.29,2.75,"Good","D","SI1",63.8,57
"2890",0.3,4.25,4.29,2.66,"Very Good","G","VVS2",62.3,59
"2891",0.3,4.26,4.29,2.66,"Very Good","H","VVS1",62.2,58
"2892",0.3,4.27,4.29,2.68,"Premium","G","VVS2",62.6,58
"2893",0.3,4.3,4.34,2.68,"Ideal","H","VVS1",62,55
"2894",0.3,4.25,4.28,2.64,"Premium","G","VVS2",61.9,59
"2895",0.3,4.22,4.28,2.69,"Good","H","VVS1",63.3,59
"2896",0.31,4.36,4.37,2.67,"Very Good","E","SI2",61.2,61
"2897",0.31,4.38,4.4,2.63,"Ideal","I","VS2",59.9,57
"2898",0.31,4.43,4.47,2.61,"Very Good","H","SI1",58.7,60
"2899",0.38,4.67,4.7,2.87,"Very Good","F","VS2",61.3,57
"2900",0.34,4.56,4.6,2.71,"Premium","F","VS2",59.2,60
"2901",0.34,4.48,4.51,2.81,"Ideal","F","VS2",62.5,55
"2902",0.34,4.45,4.49,2.76,"Very Good","G","VS1",61.7,60
"2903",0.31,4.35,4.39,2.72,"Ideal","G","VVS2",62.2,54
"2904",0.31,4.37,4.4,2.73,"Ideal","H","VVS1",62.3,54
"2905",0.42,4.79,4.82,2.96,"Very Good","G","SI1",61.6,61
"2906",0.4,4.66,4.69,2.91,"Very Good","E","SI1",62.2,62
"2907",0.4,4.72,4.76,2.88,"Very Good","E","SI1",60.8,62
"2908",0.34,4.48,4.54,2.78,"Ideal","D","VS2",61.6,55
"2909",0.41,4.72,4.74,3.03,"Very Good","D","SI1",64.1,54
"2910",0.36,4.59,4.54,2.86,"Ideal","G","SI1",62.7,55
"2911",0.34,4.51,4.47,2.8,"Ideal","I","VS1",62.4,55
"2912",0.34,4.51,4.47,2.77,"Premium","H","VS2",61.7,60
"2913",0.3,4.23,4.28,2.73,"Good","D","VVS2",64.2,55
"2914",0.44,4.9,4.94,3.05,"Ideal","E","SI2",62,54
"2915",0.31,4.32,4.34,2.72,"Ideal","D","VS2",62.8,54
"2916",0.41,4.79,4.76,2.94,"Premium","I","SI2",61.6,59
"2917",0.33,4.47,4.43,2.73,"Premium","G","VS2",61.3,61
"2918",0.4,4.81,4.82,2.87,"Very Good","F","SI1",59.6,58
"2919",0.3,4.27,4.29,2.66,"Ideal","F","VVS2",62.1,57
"2920",0.4,4.71,4.76,2.93,"Ideal","F","SI1",61.9,57
"2921",0.33,4.41,4.45,2.72,"Ideal","I","IF",61.4,56
"2922",0.31,4.43,4.46,2.65,"Ideal","E","VS2",59.8,57
"2923",0.34,4.52,4.55,2.78,"Ideal","I","IF",61.3,55
"2924",0.32,4.41,4.44,2.71,"Very Good","F","VS1",61.3,55
"2925",0.37,4.63,4.69,2.76,"Very Good","F","VS2",59.2,61
"2926",0.34,4.55,4.59,2.72,"Very Good","D","VS2",59.5,56
"2927",0.31,4.41,4.37,2.59,"Premium","G","VS2",59,60
"2928",0.31,4.34,4.31,2.7,"Ideal","E","SI1",62.4,57
"2929",0.25,4.13,4.21,2.49,"Very Good","F","VS1",59.7,57
"2930",0.31,4.37,4.39,2.72,"Ideal","I","SI1",62.1,54
"2931",0.3,4.36,4.39,2.64,"Ideal","I","VS2",60.3,57
"2932",0.31,4.43,4.41,2.64,"Premium","H","VS1",59.7,58
"2933",0.31,4.36,4.34,2.68,"Ideal","H","VS1",61.6,56
"2934",0.31,4.32,4.29,2.72,"Very Good","H","VS1",63.2,57
"2935",0.31,4.47,4.42,2.63,"Premium","G","VS2",59.2,60
"2936",0.31,4.37,4.34,2.7,"Ideal","G","VS2",62,57
"2937",0.31,4.34,4.31,2.72,"Ideal","G","VS2",62.9,57
"2938",0.31,4.32,4.29,2.73,"Very Good","G","VS2",63.4,59
"2939",0.31,4.35,4.31,2.75,"Very Good","E","SI1",63.5,55
"2940",0.31,4.32,4.28,2.73,"Very Good","E","SI1",63.5,57
"2941",0.34,4.46,4.51,2.79,"Ideal","E","VS1",62.2,57
"2942",0.38,4.66,4.69,2.83,"Premium","H","VS2",60.5,59
"2943",0.42,4.78,4.8,2.98,"Ideal","H","SI1",62.2,57
"2944",0.42,4.78,4.82,2.98,"Premium","D","SI2",62.1,59
"2945",0.34,4.5,4.54,2.76,"Very Good","G","VS1",61.2,57
"2946",0.33,4.47,4.49,2.76,"Ideal","E","SI1",61.6,55
"2947",0.32,4.37,4.41,2.73,"Ideal","E","VS2",62.2,56
"2948",0.32,4.38,4.46,2.74,"Ideal","E","VS2",62,55
"2949",0.32,4.4,4.43,2.73,"Ideal","E","VS2",61.8,55
"2950",0.32,4.37,4.38,2.72,"Ideal","E","VS2",62.2,55
"2951",0.32,4.38,4.43,2.71,"Ideal","E","VS2",61.5,55
"2952",0.32,4.42,4.45,2.72,"Ideal","E","VS2",61.3,57
"2953",0.38,4.65,4.69,2.91,"Ideal","I","VS1",62.3,53.4
"2954",0.4,4.72,4.76,2.92,"Ideal","F","SI1",61.6,55
"2955",0.31,4.3,4.36,2.69,"Ideal","D","VS1",62.1,56
"2956",0.25,4.06,4.07,2.51,"Ideal","F","VVS2",61.7,56
"2957",0.33,4.47,4.44,2.67,"Premium","F","SI1",59.9,61
"2958",0.41,4.78,4.8,2.95,"Ideal","F","SI1",61.6,57
"2959",0.41,4.72,4.77,2.98,"Very Good","E","SI1",62.8,58
"2960",0.32,4.4,4.38,2.76,"Ideal","D","SI1",62.9,56
"2961",0.35,4.48,4.5,2.83,"Very Good","H","VVS2",63,55
"2962",0.23,4.09,4.03,2.36,"Very Good","G","VVS2",58.1,59
"2963",0.23,3.93,3.95,2.36,"Good","E","VVS1",59.9,65
"2964",0.31,4.34,4.36,2.68,"Very Good","I","VS2",61.5,55
"2965",0.35,4.52,4.56,2.79,"Ideal","F","VS2",61.5,57
"2966",0.35,4.55,4.6,2.81,"Ideal","F","VS2",61.4,55
"2967",0.35,4.53,4.55,2.79,"Premium","F","VS2",61.5,59
"2968",0.28,4.18,4.2,2.62,"Very Good","F","VVS2",62.6,55
"2969",0.32,4.44,4.47,2.72,"Ideal","D","VS1",61.1,56
"2970",0.31,4.36,4.39,2.72,"Ideal","H","VVS1",62.2,54
"2971",0.31,4.32,4.35,2.69,"Ideal","G","VVS2",62.1,56
"2972",0.31,4.31,4.35,2.7,"Ideal","G","VVS2",62.4,56
"2973",0.31,4.34,4.38,2.68,"Ideal","H","VVS1",61.5,56
"2974",0.31,4.32,4.35,2.68,"Ideal","H","VVS1",61.8,57
"2975",0.32,4.44,4.48,2.73,"Ideal","H","VVS1",61.2,56
"2976",0.31,4.27,4.3,2.73,"Very Good","D","VS1",63.7,58
"2977",0.35,4.53,4.5,2.79,"Premium","I","VS1",61.8,58
"2978",0.3,4.32,4.3,2.69,"Ideal","I","VVS1",62.4,56
"2979",0.3,4.27,4.24,2.66,"Premium","I","VVS1",62.5,60
"2980",0.3,4.33,4.3,2.68,"Ideal","D","SI1",62.1,56
"2981",0.3,4.32,4.28,2.65,"Ideal","D","SI1",61.6,57
"2982",0.3,4.28,4.25,2.65,"Premium","D","SI1",62.1,58
"2983",0.3,4.28,4.25,2.63,"Premium","D","SI1",61.7,60
"2984",0.31,4.37,4.44,2.66,"Ideal","E","VVS2",60.4,61
"2985",0.3,4.3,4.33,2.69,"Ideal","D","VS2",62.3,54
"2986",0.3,4.33,4.37,2.64,"Premium","D","VS2",60.7,60
"2987",0.3,4.3,4.35,2.66,"Ideal","D","VS2",61.5,55
"2988",0.3,4.26,4.29,2.67,"Very Good","D","VS2",62.5,58
"2989",0.3,4.26,4.28,2.68,"Very Good","D","VS2",62.8,59
"2990",0.3,4.31,4.36,2.63,"Ideal","E","VS1",60.7,57
"2991",0.31,4.34,4.38,2.68,"Very Good","F","VVS2",61.6,56
"2992",0.29,4.25,4.27,2.62,"Very Good","G","VS2",61.5,58
"2993",0.32,4.42,4.45,2.71,"Ideal","D","VS2",61.1,56
"2994",0.37,4.64,4.68,2.84,"Very Good","I","VVS2",60.9,58
"2995",0.31,4.37,4.4,2.69,"Ideal","G","SI1",61.3,58
"2996",0.33,4.46,4.51,2.75,"Premium","I","SI1",61.3,59
"2997",0.31,4.38,4.4,2.71,"Ideal","G","SI1",61.7,54
"2998",0.29,4.26,4.29,2.61,"Ideal","F","VVS1",61.1,57
"2999",0.39,4.78,4.74,2.9,"Ideal","G","SI2",60.9,56
"3000",0.32,4.39,4.42,2.72,"Ideal","F","VS1",61.7,56
"3001",0.43,4.83,4.86,3,"Ideal","E","SI2",61.9,57
"3002",0.32,4.38,4.42,2.73,"Very Good","F","VVS2",62,55
"3003",0.41,4.68,4.73,2.97,"Good","D","SI1",63.1,57
"3004",0.39,4.62,4.67,2.94,"Good","F","SI1",63.3,54
"3005",0.39,4.69,4.72,2.92,"Ideal","E","SI1",62.1,53
"3006",0.41,4.76,4.8,2.88,"Very Good","G","SI1",60.3,60
"3007",0.32,4.43,4.36,2.72,"Premium","G","VS2",61.9,58
"3008",0.32,4.4,4.37,2.73,"Premium","G","VS2",62.3,60
"3009",0.32,4.38,4.35,2.71,"Premium","I","VVS2",62.1,59
"3010",0.32,4.44,4.4,2.68,"Premium","H","VS1",60.6,60
"3011",0.32,4.35,4.32,2.73,"Ideal","H","VS1",63,57
"3012",0.32,4.45,4.42,2.71,"Premium","G","VS2",61.1,58
"3013",0.32,4.42,4.38,2.67,"Premium","G","VS2",60.7,58
"3014",0.32,4.39,4.37,2.69,"Ideal","G","VS2",61.4,56
"3015",0.32,4.36,4.33,2.71,"Premium","G","VS2",62.4,59
"3016",0.32,4.39,4.36,2.76,"Very Good","E","SI1",63.1,56
"3017",0.4,4.68,4.71,2.97,"Good","D","SI1",63.3,57
"3018",0.35,4.48,4.5,2.81,"Very Good","D","VS2",62.6,56
"3019",0.33,4.48,4.51,2.74,"Ideal","I","VVS2",61,56
"3020",0.42,4.83,4.87,2.94,"Very Good","F","SI1",60.6,61
"3021",0.42,4.79,4.82,3.03,"Good","F","SI1",63.1,56
"3022",0.33,4.41,4.44,2.75,"Ideal","E","VS2",62.1,57
"3023",0.33,4.43,4.48,2.7,"Premium","E","VS2",60.6,60
"3024",0.33,4.45,4.47,2.73,"Ideal","E","VS2",61.2,56
"3025",0.4,4.65,4.71,3,"Good","F","VS2",64.1,56
"3026",0.26,4.19,4.16,2.46,"Premium","E","VVS2",58.9,61
"3027",0.31,4.38,4.42,2.63,"Ideal","E","VVS1",59.8,60
"3028",0.31,4.31,4.34,2.73,"Good","H","SI1",63.1,57
"3029",0.3,4.31,4.34,2.64,"Very Good","G","SI1",61,57
"3030",0.3,4.32,4.37,2.6,"Very Good","G","SI1",59.8,57
"3031",0.3,4.31,4.27,2.66,"Premium","G","VS1",62,60
"3032",0.34,4.48,4.51,2.79,"Ideal","F","VS2",62.1,56
"3033",0.36,4.56,4.6,2.88,"Very Good","G","VS1",62.9,57
"3034",0.36,4.5,4.55,2.82,"Premium","G","VS1",62.3,59
"3035",0.5,5.01,4.97,3.24,"Fair","G","I1",64.9,57
"3036",0.4,4.72,4.74,2.93,"Ideal","I","VVS2",61.9,56.4
"3037",0.36,4.6,4.55,2.79,"Premium","H","VS2",61,60
"3038",0.36,4.58,4.57,2.84,"Ideal","H","VS2",62.1,55
"3039",0.3,4.26,4.29,2.67,"Very Good","F","VVS2",62.5,56
"3040",0.33,4.48,4.5,2.79,"Ideal","H","VVS1",62.1,53
"3041",0.32,4.37,4.42,2.7,"Premium","H","VVS1",61.4,58
"3042",0.32,4.4,4.43,2.72,"Ideal","H","VVS1",61.6,55
"3043",0.32,4.4,4.42,2.75,"Ideal","G","VVS2",62.4,56
"3044",0.32,4.34,4.37,2.74,"Very Good","H","VVS1",62.9,58
"3045",0.32,4.42,4.45,2.71,"Ideal","G","VVS2",61.1,55
"3046",0.4,4.76,4.81,2.92,"Ideal","F","SI2",61,56
"3047",0.32,4.39,4.42,2.7,"Ideal","G","VVS1",61.3,60
"3048",0.31,4.32,4.28,2.73,"Very Good","D","SI1",63.5,57
"3049",0.31,4.49,4.37,2.71,"Ideal","D","SI1",61.2,55
"3050",0.31,4.37,4.34,2.71,"Ideal","D","SI1",62.2,55
"3051",0.31,4.35,4.33,2.67,"Ideal","D","SI1",61.5,56
"3052",0.31,4.33,4.3,2.68,"Premium","D","SI1",62.1,58
"3053",0.26,4.12,4.15,2.53,"Ideal","E","VVS2",61.3,57
"3054",0.38,4.57,4.63,2.86,"Premium","D","SI1",62.2,58
"3055",0.31,4.38,4.43,2.65,"Premium","E","VS1",60.2,58
"3056",0.31,4.31,4.36,2.71,"Ideal","D","VS2",62.5,56
